heart_disease_mortality_per_100k,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__homicides_per_100k,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician
194,0.564,0.045,0.076,0.02,0.506,0.225,0.158,0.047,0.009,0.898,0.007,0.028,0.042,0.238,0.309,0.411,9,8,0.267,0.162,0.079,0.073,0.244,0.166,12,0,6.3,1180,709
292,0.498,0.086,0.166,0.03,0.505,0.245,0.138,0.095,0.149,0.729,0,0.01,0.118301314,0.341759353,0.341759353,0.19817998,12,10,0.33,0.271,0.106,0.08,0.143,0.289,13,3.61,13.45,2559,2029
231,0.468,0.069,0.162,0.037,0.503,0.218,0.193,0.027,0.092,0.845,0.007,0.002,0.098409543,0.350894632,0.370775348,0.179920477,10,11,0.267,0.287,0.116,0.083,0.227,0.286,12,2.58,13.71,1990,1980
243,0.527,0.053,0.197,0.093,0.485,0.238,0.128,0.078,0.021,0.858,0.024,0.003,0.08241206,0.273366834,0.422110553,0.222110553,15,9,0.271,0.262,0.09,0.072,0.172,0.24,11,4.2,19.67,1369,1420
331,0.448,0.057,0.168,0.027,0.498,0.238,0.174,0.046,0.135,0.789,0.008,0,0.135912698,0.404761905,0.320436508,0.138888889,12,12,0.339,0.254,0.118,0.09,0.164,0.27,14,5.8,12.45,3340,2010
359,0.433,0.059,0.224,0.043,0.522,0.223,0.176,0.007,0.008,0.953,0.006,0.001,0.110663984,0.376257545,0.317907445,0.195171026,12,12,0.317,0.274,0.15,0.098,0.087,0.328,13,2.29,9.21,1940,1279
306,0.404,0.067,0.244,0.089,0.433,0.196,0.174,0.036,0.216,0.721,0.007,0.008,0.243538767,0.391650099,0.281312127,0.083499006,10,11,0.367,0.297,0.147,0.101,0.139,0.326,12,8,21.87,2070,2060
276,0.465,0.06,0.208,0.06,0.5,0.248,0.162,0.108,0.027,0.824,0.01,0.009,0.132612967,0.336935167,0.329076621,0.201375246,12,10,0.325,0.198,0.13,0.074,0.203,0.262,13,2.7,15.9,2789,1750
353,0.405,0.058,0.273,0.064,0.511,0.242,0.145,0.135,0.012,0.803,0.021,0.008,0.276,0.35,0.263,0.111,11,11,0.315,0.18,0.135,0.096,0.095,0.29,13,3.3,19.5,4169,2450
210,0.555,0.054,0.236,0.068,0.508,0.243,0.093,0.124,0.308,0.488,0.009,0.051,0.102306921,0.199598796,0.272818455,0.425275827,14,6,0.239,0.144,0.08,0.087,0.159,0.199,13,7.3,7.89,1540,1160
222,0.478,0.057,0.242,0.075,0.522,0.239,0.143,0.12,0.258,0.58,0.005,0.023,0.133726647,0.248770895,0.284169125,0.333333333,12,9,0.257,0.198,0.095,0.092,0.13,0.214,13,5.8,11.49,1649,939
278,0.449,0.071,0.197,0.071,0.504,0.226,0.15,0.036,0.075,0.86,0,0.009,0.127849356,0.39147671,0.309217047,0.171456888,11,11,0.368,0.277,0.128,0.092,0.159,0.344,14,2.92,12.92,2160,1869
423,0.384,0.105,0.269,0.075,0.525,0.266,0.14,0.01,0.484,0.481,0.001,0.007,0.193386774,0.362725451,0.291583166,0.152304609,16,12,0.362,0.241,0.133,0.121,0.119,0.388,12,8.63,50.97,3470,3139
254,0.502,0.049,0.143,0.056,0.501,0.258,0.136,0.021,0.058,0.895,0,0.024,0.083333333,0.335294118,0.314705882,0.266666667,11,8,0.3,0.196,0.106,0.074,0.159,0.26,13,2.01,10.96,2420,1610
306,0.441,0.167,0.329,0.092,0.494,0.253,0.204,0.634,0.008,0.335,0.025,0.006,0.322420635,0.314484127,0.244047619,0.119047619,17,12,0.247,0.191,0.1,0.078,0.163,0.239,10,7.7,19.39,3079,2080
196,0.541,0.039,0.074,0.026,0.516,0.166,0.106,0.21,0.202,0.477,0.007,0.084,0.152525253,0.229292929,0.190909091,0.427272727,12,6,0.209,0.147,0.073,0.082,0.185,0.208,10,7,4.12,570,680
250,0.509,0.039,0.149,0.053,0.508,0.25,0.14,0.024,0.013,0.947,0,0.011,0.105110897,0.337512054,0.286403086,0.270973963,11,8,0.287,0.241,0.109,0.066,0.153,0.265,13,-0.1,9.97,2559,1390
303,0.524,0.054,0.216,0.048,0.516,0.221,0.121,0.037,0.456,0.463,0,0.03,0.105314961,0.265748031,0.292322835,0.336614173,14,9,0.324,0.165,0.117,0.12,0.152,0.24,11,16.1,14.85,1450,1139
363,0.437,0.04,0.249,0.106,0.504,0.245,0.169,0.043,0.03,0.776,0.107,0,0.146316852,0.407669021,0.305751766,0.140262361,12,13,0.349,0.306,0.125,0.079,0.153,0.349,10,3.9,24.72,3200,3530
322,0.45,0.059,0.161,0.063,0.478,0.193,0.185,0.004,0.042,0.933,0.007,0.003,0.117117117,0.431431431,0.303303303,0.148148148,10,12,0.327,0.225,0.148,0.084,0.228,0.333,14,1.7,11.4,2670,2169
392,0.36,0.074,0.258,0.113,0.504,0.238,0.15,0.027,0.31,0.662,0,0.002,0.206930693,0.352475248,0.318811881,0.121782178,14,11,0.38,0.286,0.169,0.128,0.113,0.349,12,12.04,52.54,6270,2109
387,0.479,0.058,0.249,0.047,0.516,0.24,0.141,0.025,0.252,0.696,0.006,0.007,0.139086294,0.359390863,0.29035533,0.211167513,14,10,0.351,0.224,0.128,0.109,0.155,0.309,10,7.81,23.23,1979,1560
303,0.436,0.07,0.163,0.078,0.463,0.19,0.19,0.039,0.035,0.917,0,0.002,0.112,0.442,0.254,0.192,8,11,0.292,0.192,0.108,0.078,0.172,0.258,12,2.32,21.31,2139,2030
204,0.527,0.047,0.177,0.065,0.498,0.242,0.145,0.069,0.043,0.851,0.01,0.016,0.122754491,0.306387226,0.283433134,0.28742515,11,8,0.304,0.203,0.092,0.065,0.139,0.249,13,3.7,13.29,7390,2290
310,0.44,0.081,0.24,0.073,0.518,0.22,0.164,0.005,0.05,0.905,0.001,0.011,0.174219537,0.407854985,0.266868077,0.151057402,14,11,0.309,0.232,0.132,0.071,0.124,0.278,13,5.53,21.56,3669,1229
254,0.544,0.031,0.182,0.072,0.51,0.251,0.153,0.102,0.031,0.812,0,0.022,0.09970385,0.336623889,0.324777887,0.238894373,13,10,0.324,0.18,0.107,0.081,0.158,0.252,10,4.7,8.39,1789,1239
375,0.438,0.061,0.239,0.043,0.512,0.255,0.14,0.028,0.007,0.955,0,0.009,0.15984016,0.437562438,0.242757243,0.15984016,13,11,0.373,0.185,0.158,0.065,0.114,0.333,13,6.31,26.01,3639,1700
226,0.514,0.042,0.218,0.091,0.506,0.218,0.164,0.33,0.018,0.54,0.015,0.076,0.164453524,0.197139939,0.31154239,0.326864147,10,9,0.235,0.085,0.071,0.057,0.242,0.135,8,1.4,9.08,1289,1009
323,0.445,0.06,0.331,0.114,0.522,0.255,0.134,0.111,0.297,0.566,0,0.013,0.206060606,0.335353535,0.296969697,0.161616162,15,10,0.324,0.167,0.132,0.107,0.089,0.296,12,8.7,20.68,2510,1169
232,0.381,0.087,0.227,0.096,0.482,0.195,0.205,0.082,0.013,0.843,0.036,0.011,0.117171717,0.303030303,0.402020202,0.177777778,9,11,0.317,0.246,0.102,0.063,0.156,0.225,11,3.45,17.01,3159,3810
366,0.379,0.057,0.346,0.111,0.498,0.264,0.144,0.062,0.01,0.419,0.435,0.003,0.218811881,0.415841584,0.225742574,0.13960396,15,12,0.347,0.304,0.13,0.077,0.118,0.344,11,11.2,26.12,4429,2779
350,0.414,0.038,0.257,0.109,0.513,0.227,0.206,0.078,0.002,0.871,0.012,0.003,0.184079602,0.411940299,0.259701493,0.144278607,12,11,0.313,0.309,0.109,0.076,0.154,0.325,10,5.1,24.64,3950,1970
220,0.498,0.069,0.11,0.039,0.497,0.217,0.152,0.078,0.058,0.78,0.01,0.041,0.091457286,0.312562814,0.27638191,0.31959799,10,9,0.261,0.174,0.075,0.067,0.189,0.22,10,3.11,9.16,1650,1590
246,0.531,0.045,0.123,0.036,0.513,0.251,0.123,0.07,0.08,0.773,0.004,0.045,0.070436508,0.251984127,0.284722222,0.392857143,11,7,0.269,0.148,0.081,0.071,0.179,0.221,13,2.46,9.6,1600,1550
395,0.46,0.04,0.285,0.126,0.506,0.248,0.173,0.079,0.018,0.777,0.082,0.005,0.157,0.433,0.263,0.147,15,12,0.334,0.25,0.115,0.088,0.089,0.338,10,4.6,41.13,3410,2720
211,0.504,0.06,0.299,0.122,0.503,0.281,0.071,0.211,0.236,0.432,0.007,0.11,0.125502008,0.230923695,0.296184739,0.347389558,13,4,0.246,0.138,0.07,0.076,0.144,0.216,13,4.37,11.14,1769,1749
269,0.467,0.084,0.155,0.029,0.519,0.225,0.164,0.078,0.191,0.704,0,0.014,0.120158888,0.346573982,0.334657398,0.198609732,12,10,0.398,0.196,0.124,0.097,0.199,0.273,12,9.65,10.98,1690,1189
276,0.476,0.068,0.137,0.052,0.507,0.201,0.195,0.014,0.037,0.926,0.001,0.003,0.112662014,0.44666002,0.248255234,0.192422732,11,13,0.318,0.207,0.109,0.091,0.109,0.276,14,4.3,11.36,1900,2090
321,0.361,0.05,0.224,0.094,0.456,0.176,0.181,0.046,0.27,0.661,0.015,0,0.209209209,0.365365365,0.292292292,0.133133133,10,13,0.335,0.189,0.126,0.103,0.106,0.325,12,9.5,24.51,4890,2220
224,0.48,0.053,0.193,0.076,0.512,0.222,0.18,0.066,0.063,0.851,0.012,0.012,0.152694611,0.308383234,0.29241517,0.246506986,9,10,0.275,0.222,0.119,0.077,0.117,0.261,13,2.94,19.44,3479,2589
215,0.509,0.045,0.123,0.061,0.488,0.19,0.167,0.015,0.018,0.928,0.026,0.013,0.073219659,0.292878636,0.364092277,0.269809428,10,10,0.275,0.223,0.087,0.061,0.189,0.19,11,1.65,11.25,1420,820
239,0.472,0.053,0.306,0.12,0.509,0.246,0.123,0.617,0.031,0.33,0.013,0.016,0.19265144,0.277060576,0.324726912,0.205561072,14,8,0.291,0.26,0.102,0.091,0.266,0.253,9,6.04,12.25,2179,1359
252,0.507,0.047,0.161,0.054,0.506,0.236,0.127,0.039,0.071,0.831,0.006,0.03,0.103277061,0.33366435,0.277060576,0.285998014,12,9,0.289,0.229,0.116,0.073,0.19,0.274,13,1.7,7.99,2170,1989
304,0.47,0.044,0.287,0.138,0.509,0.256,0.142,0.123,0.229,0.632,0.01,0.004,0.164164164,0.332332332,0.31031031,0.193193193,12,10,0.316,0.227,0.114,0.109,0.163,0.305,10,7.4,31.02,5139,3739
232,0.493,0.065,0.231,0.076,0.517,0.232,0.135,0.074,0.33,0.519,0.004,0.051,0.116302187,0.245526839,0.2972167,0.340954274,12,8,0.287,0.163,0.097,0.089,0.144,0.223,13,7,11.35,1859,1280
315,0.462,0.06,0.216,0.062,0.526,0.261,0.104,0.068,0.525,0.382,0.01,0.024,0.137080868,0.269230769,0.292899408,0.300788955,15,9,0.35,0.178,0.122,0.112,0.123,0.276,13,16.7,13.56,1539,1289
236,0.496,0.056,0.158,0.057,0.511,0.214,0.186,0.038,0.08,0.839,0,0.008,0.096421471,0.393638171,0.301192843,0.208747515,10,12,0.28,0.195,0.106,0.086,0.194,0.236,13,3.9,8.07,1580,1340
246,0.486,0.06,0.193,0.05,0.506,0.236,0.114,0.076,0.397,0.451,0.011,0.029,0.104417671,0.290160643,0.371485944,0.233935743,15,8,0.355,0.227,0.121,0.087,0.177,0.264,12,10.2,7.8,1260,1580
337,0.423,0.063,0.284,0.121,0.512,0.254,0.19,0.062,0.022,0.774,0.098,0.005,0.128024194,0.339717742,0.342741935,0.189516129,14,13,0.365,0.206,0.147,0.073,0.123,0.32,10,3.6,27.62,2470,2300
292,0.47,0.061,0.173,0.054,0.515,0.221,0.13,0.048,0.487,0.406,0.009,0.023,0.10703667,0.267591675,0.396432111,0.228939544,13,9,0.334,0.184,0.128,0.104,0.161,0.259,12,7,7.05,1620,2399
302,0.456,0.06,0.253,0.089,0.507,0.228,0.157,0.085,0.162,0.726,0.004,0.01,0.171287129,0.32970297,0.311881188,0.187128713,12,11,0.344,0.262,0.127,0.1,0.107,0.305,13,5.7,17.7,2599,2419
225,0.474,0.043,0.221,0.076,0.508,0.224,0.188,0.065,0.06,0.86,0,0.008,0.145418327,0.315737052,0.296812749,0.242031873,8,11,0.256,0.224,0.12,0.079,0.126,0.251,13,3.3,17.54,3459,2299
283,0.455,0.058,0.198,0.05,0.53,0.191,0.141,0.028,0.284,0.63,0.013,0.026,0.123107972,0.248234107,0.303733602,0.324924319,13,10,0.334,0.241,0.113,0.078,0.174,0.27,13,2.37,7.13,1159,780
252,0.485,0.049,0.144,0.054,0.506,0.248,0.119,0.054,0.295,0.597,0.01,0.037,0.086032389,0.269230769,0.349190283,0.295546559,13,8,0.298,0.169,0.107,0.08,0.162,0.206,12,4.9,8.07,2319,1229
269,0.397,0.07,0.152,0.045,0.488,0.253,0.118,0.068,0.046,0.845,0.013,0.02,0.113636364,0.330039526,0.350790514,0.205533597,18,7,0.289,0.264,0.086,0.077,0.197,0.268,12,1.76,10.9,1359,2559
265,0.418,0.087,0.222,0.069,0.496,0.232,0.195,0.087,0.005,0.846,0.019,0.008,0.131944444,0.30952381,0.405753968,0.152777778,12,11,0.309,0.194,0.091,0.058,0.147,0.224,11,3.5,14.48,1530,1930
307,0.469,0.188,0.371,0.109,0.501,0.268,0.208,0.624,0.003,0.349,0.018,0,0.307849134,0.322120285,0.24872579,0.121304791,16,13,0.255,0.18,0.096,0.093,0.163,0.238,10,8.65,27.82,3189,2100
317,0.502,0.067,0.149,0.044,0.508,0.204,0.181,0.06,0.033,0.871,0.001,0.01,0.11684518,0.391431353,0.277507303,0.214216164,10,12,0.302,0.251,0.105,0.084,0.201,0.314,12,3.77,13.24,1749,1249
323,0.44,0.077,0.155,0.043,0.512,0.189,0.191,0.016,0.051,0.935,0,0,0.128772636,0.506036217,0.227364185,0.137826962,10,13,0.378,0.241,0.132,0.093,0.182,0.329,14,3.3,20.22,1730,2599
241,0.509,0.054,0.121,0.033,0.518,0.244,0.135,0.06,0.076,0.826,0.011,0.025,0.07960199,0.278606965,0.323383085,0.31840796,13,8,0.308,0.179,0.083,0.07,0.244,0.211,11,2.2,8.46,1480,1279
245,0.446,0.045,0.196,0.099,0.483,0.225,0.126,0.053,0.056,0.835,0.003,0.024,0.097363083,0.279918864,0.354969574,0.267748479,11,8,0.278,0.239,0.105,0.079,0.163,0.243,13,1.6,15.6,4129,1579
267,0.495,0.075,0.162,0.035,0.508,0.221,0.178,0.121,0.09,0.74,0.005,0.018,0.121852971,0.314199396,0.343403827,0.220543807,12,10,0.274,0.19,0.123,0.085,0.159,0.262,12,3.6,6.88,1790,1859
205,0.424,0.081,0.276,0.142,0.513,0.187,0.288,0.116,0.092,0.769,0.006,0.021,0.118627451,0.307843137,0.310784314,0.262745098,9,13,0.219,0.192,0.118,0.077,0.195,0.231,11,3.44,15.34,1689,1469
340,0.477,0.066,0.257,0.059,0.523,0.239,0.173,0.067,0.404,0.507,0.008,0.009,0.209775967,0.319755601,0.344195519,0.126272912,11,13,0.342,0.16,0.152,0.102,0.086,0.335,12,7.6,18.51,2180,2190
241,0.499,0.062,0.165,0.048,0.514,0.232,0.127,0.095,0.03,0.843,0.006,0.012,0.082423039,0.351539225,0.299900695,0.266137041,11,8,0.293,0.219,0.103,0.063,0.192,0.281,13,2.14,12.58,2030,1739
389,0.457,0.056,0.22,0.112,0.509,0.238,0.18,0.062,0.019,0.811,0.062,0.002,0.14101291,0.387288977,0.296921549,0.174776564,12,13,0.309,0.21,0.123,0.08,0.112,0.327,10,4.4,22.06,2040,1649
192,0.528,0.035,0.091,0.051,0.514,0.282,0.1,0.019,0.033,0.878,0.004,0.052,0.027383367,0.213995943,0.242393509,0.516227181,12,5,0.253,0.12,0.084,0.08,0.196,0.212,14,0.07,7.5,2059,839
326,0.445,0.074,0.279,0.102,0.518,0.229,0.172,0.026,0.384,0.549,0.011,0.016,0.181544634,0.382146439,0.306920762,0.129388164,12,14,0.358,0.233,0.164,0.098,0.1,0.319,13,14.73,38.77,4279,1929
281,0.42,0.103,0.213,0.05,0.533,0.263,0.114,0.537,0.31,0.109,0.022,0.038,0.291583166,0.270541082,0.250501002,0.187374749,15,6,0.282,0.179,0.101,0.107,0.149,0.285,11,10.19,4.46,2079,2020
289,0.444,0.055,0.216,0.099,0.444,0.211,0.111,0.038,0.149,0.788,0,0.006,0.11334002,0.390170512,0.326980943,0.169508526,11,8,0.36,0.256,0.113,0.088,0.213,0.275,12,5.02,19.57,6810,3440
274,0.384,0.089,0.24,0.08,0.486,0.214,0.184,0.105,0.012,0.808,0.071,0.015,0.12751004,0.319277108,0.408634538,0.144578313,11,12,0.344,0.226,0.126,0.064,0.212,0.255,11,2.6,15.85,2150,2239
212,0.554,0.055,0.105,0.029,0.499,0.246,0.12,0.029,0.011,0.889,0.019,0.042,0.07079646,0.334316618,0.315634218,0.279252704,12,7,0.3,0.185,0.095,0.076,0.272,0.226,11,-0.09,10.99,1220,1210
292,0.483,0.066,0.177,0.053,0.518,0.232,0.139,0.045,0.473,0.409,0.009,0.02,0.100790514,0.273715415,0.394268775,0.231225296,14,9,0.371,0.181,0.124,0.094,0.163,0.268,12,7.6,7.78,1740,2519
333,0.47,0.08,0.116,0.041,0.512,0.236,0.128,0.174,0.088,0.635,0.004,0.077,0.109657948,0.323943662,0.264587525,0.301810865,11,7,0.28,0.18,0.099,0.079,0.168,0.283,11,4.36,6.22,1559,1070
325,0.449,0.044,0.287,0.152,0.507,0.258,0.147,0.182,0.012,0.783,0.008,0.003,0.155870445,0.37145749,0.317813765,0.1548583,13,9,0.295,0.163,0.096,0.065,0.145,0.271,10,1.5,29.96,3380,1939
315,0.461,0.049,0.166,0.032,0.519,0.248,0.129,0.028,0.187,0.755,0,0.012,0.129482072,0.337649402,0.304780876,0.228087649,12,9,0.307,0.224,0.115,0.091,0.165,0.28,13,4.6,21.25,3450,3079
302,0.434,0.059,0.222,0.071,0.506,0.241,0.16,0.024,0.038,0.911,0.002,0.005,0.198795181,0.411646586,0.236947791,0.152610442,13,12,0.307,0.261,0.132,0.095,0.095,0.311,14,3.81,26.01,3330,1399
268,0.503,0.054,0.256,0.111,0.507,0.281,0.132,0.154,0.052,0.775,0.014,0.004,0.188362919,0.365877712,0.262327416,0.183431953,15,8,0.297,0.197,0.091,0.078,0.1,0.273,13,3.22,13.84,3080,2089
279,0.468,0.067,0.289,0.073,0.523,0.212,0.109,0.055,0.602,0.302,0.004,0.033,0.153144016,0.231237323,0.26673428,0.348884381,13,8,0.319,0.2,0.111,0.134,0.207,0.287,12,50.49,11.84,1729,1119
204,0.442,0.065,0.354,0.129,0.495,0.288,0.11,0.193,0.002,0.424,0.387,0,0.183026585,0.323108384,0.348670757,0.145194274,15,7,0.308,0.226,0.091,0.073,0.129,0.241,10,7.7,31.07,1429,1799
282,0.526,0.063,0.222,0.038,0.508,0.244,0.109,0.025,0.375,0.579,0.005,0.008,0.15136226,0.38950555,0.26135217,0.19778002,15,8,0.361,0.193,0.148,0.115,0.224,0.308,11,9.1,19.07,6139,8029
317,0.411,0.084,0.241,0.077,0.527,0.244,0.158,0.069,0.49,0.413,0.007,0.016,0.239520958,0.369261477,0.28243513,0.108782435,13,11,0.356,0.279,0.154,0.114,0.077,0.321,12,17.9,17.71,2349,2250
185,0.563,0.03,0.09,0.028,0.507,0.247,0.114,0.067,0.177,0.569,0.007,0.159,0.045634921,0.146825397,0.204365079,0.603174603,12,5,0.234,0.085,0.087,0.075,0.147,0.187,13,1.6,6.24,1239,509
193,0.49,0.051,0.3,0.134,0.519,0.19,0.222,0.202,0.176,0.582,0.011,0.03,0.120445344,0.252024291,0.29048583,0.337044534,10,11,0.225,0.144,0.098,0.084,0.149,0.229,11,7.9,12.61,1440,1289
205,0.504,0.053,0.219,0.046,0.501,0.28,0.109,0.315,0.05,0.594,0.009,0.05,0.171514544,0.238716148,0.273821464,0.315947844,13,6,0.278,0.144,0.087,0.071,0.195,0.206,13,2.1,6.86,1730,2289
210,0.487,0.064,0.226,0.081,0.502,0.203,0.139,0.076,0.001,0.822,0.032,0.032,0.095808383,0.219560878,0.360279441,0.324351297,11,7,0.252,0.146,0.079,0.039,0.172,0.152,12,1.23,8.99,1549,1170
282,0.521,0.075,0.232,0.087,0.517,0.237,0.122,0.083,0.291,0.562,0.011,0.042,0.117357002,0.278106509,0.333333333,0.271203156,14,9,0.281,0.204,0.107,0.1,0.16,0.255,12,13.97,15.98,1550,1219
252,0.492,0.078,0.256,0.071,0.516,0.237,0.125,0.378,0.117,0.444,0.006,0.065,0.172205438,0.351460222,0.210473313,0.265861027,14,7,0.255,0.161,0.097,0.085,0.156,0.272,11,4.5,5.74,1479,1719
307,0.442,0.065,0.187,0.074,0.52,0.211,0.186,0.014,0.079,0.876,0,0.007,0.115927419,0.454637097,0.26108871,0.168346774,10,12,0.341,0.244,0.108,0.086,0.193,0.312,14,6.5,13.03,1959,1919
327,0.476,0.053,0.221,0.08,0.484,0.214,0.179,0.036,0.111,0.816,0.002,0.016,0.171144279,0.348258706,0.317412935,0.16318408,11,11,0.291,0.25,0.125,0.101,0.148,0.331,13,3.9,16.55,2880,2079
337,0.489,0.036,0.233,0.119,0.511,0.264,0.135,0.076,0.001,0.8,0.067,0,0.129096326,0.346573982,0.302879841,0.221449851,12,9,0.323,0.171,0.12,0.08,0.115,0.293,10,4.44,20,3969,2709
289,0.452,0.057,0.244,0.093,0.506,0.206,0.154,0.058,0.224,0.651,0.004,0.027,0.101694915,0.29112662,0.355932203,0.251246261,13,11,0.297,0.221,0.121,0.099,0.155,0.235,13,6.7,14.64,1830,1460
356,0.402,0.069,0.277,0.11,0.509,0.26,0.158,0.009,0.304,0.625,0.053,0,0.176646707,0.308383234,0.361277445,0.153692615,14,14,0.327,0.249,0.137,0.116,0.097,0.351,12,7.88,26.58,7369,3069
258,0.455,0.058,0.252,0.094,0.51,0.238,0.167,0.036,0.165,0.778,0.001,0.009,0.178781925,0.307465619,0.320235756,0.193516699,12,11,0.325,0.211,0.112,0.09,0.102,0.3,13,6.8,20.53,2609,1460
310,0.442,0.104,0.275,0.085,0.479,0.289,0.093,0.499,0.053,0.379,0.025,0.047,0.275582573,0.271529889,0.295845998,0.15704154,16,6,0.276,0.174,0.08,0.065,0.154,0.225,9,7.49,16.28,2339,1989
291,0.428,0.047,0.248,0.095,0.475,0.223,0.174,0.055,0.179,0.736,0.009,0.019,0.148809524,0.367063492,0.342261905,0.141865079,12,11,0.358,0.237,0.133,0.091,0.164,0.309,12,6.5,28.29,2250,2260
263,0.507,0.042,0.188,0.081,0.493,0.202,0.095,0.083,0.044,0.793,0.01,0.074,0.091463415,0.265243902,0.292682927,0.350609756,13,6,0.259,0.144,0.085,0.071,0.173,0.249,14,0.4,8.2,2300,1470
231,0.497,0.064,0.239,0.078,0.526,0.228,0.128,0.073,0.327,0.536,0.01,0.045,0.118,0.247,0.291,0.344,12,8,0.27,0.163,0.085,0.105,0.142,0.236,13,6.19,13.07,1949,1339
267,0.494,0.099,0.244,0.086,0.491,0.24,0.171,0.139,0.006,0.828,0.009,0.004,0.153380424,0.34308779,0.327951564,0.175580222,10,10,0.352,0.216,0.13,0.08,0.201,0.248,12,5.26,20.03,3800,2039
251,0.513,0.055,0.216,0.082,0.508,0.237,0.133,0.053,0.145,0.765,0,0.011,0.104251012,0.282388664,0.315789474,0.29757085,12,8,0.315,0.207,0.118,0.078,0.148,0.257,12,3.63,19.43,2669,1749
281,0.431,0.077,0.151,0.049,0.488,0.207,0.146,0.017,0.026,0.932,0.011,0.006,0.124752475,0.356435644,0.294059406,0.224752475,11,9,0.3,0.264,0.094,0.076,0.228,0.285,11,2.05,10.25,2870,1830
250,0.461,0.068,0.197,0.056,0.507,0.254,0.119,0.22,0.096,0.476,0.008,0.155,0.132338308,0.223880597,0.364179104,0.27960199,13,7,0.273,0.145,0.09,0.074,0.183,0.188,9,5.98,10.39,1419,1300
272,0.504,0.06,0.125,0.045,0.516,0.231,0.132,0.054,0.104,0.801,0,0.017,0.080919081,0.343656344,0.282717283,0.292707293,11,9,0.279,0.193,0.103,0.085,0.192,0.259,12,2.5,10.58,2320,1820
268,0.411,0.062,0.342,0.104,0.503,0.274,0.143,0.527,0.021,0.433,0.016,0.011,0.225,0.275,0.317,0.183,14,10,0.31,0.215,0.106,0.077,0.153,0.264,10,12.94,21.25,3209,1340
304,0.438,0.061,0.149,0.068,0.471,0.177,0.207,0.04,0.034,0.916,0.002,0.007,0.108324975,0.440320963,0.252758275,0.198595787,8,11,0.318,0.189,0.118,0.073,0.18,0.239,12,3.3,16.19,1979,2159
308,0.499,0.059,0.186,0.072,0.504,0.268,0.123,0.014,0.026,0.935,0,0.005,0.134897361,0.431085044,0.277614858,0.156402737,13,8,0.352,0.346,0.122,0.066,0.185,0.27,11,3.3,20.11,6729,8889
349,0.385,0.073,0.261,0.054,0.486,0.217,0.164,0.023,0.324,0.616,0.044,0.007,0.198388721,0.426988922,0.251762336,0.12286002,11,12,0.383,0.204,0.137,0.112,0.073,0.369,13,10.4,28.19,2529,2109
260,0.455,0.083,0.229,0.101,0.509,0.211,0.168,0.142,0.008,0.749,0.028,0.044,0.116514691,0.227963526,0.395136778,0.260385005,11,10,0.248,0.19,0.084,0.056,0.214,0.17,9,4.14,17.02,1490,1480
255,0.475,0.062,0.235,0.059,0.518,0.243,0.125,0.228,0.391,0.324,0.004,0.054,0.155945419,0.281676413,0.231968811,0.330409357,13,8,0.276,0.144,0.089,0.1,0.155,0.273,11,14.8,5.39,1109,1180
288,0.496,0.045,0.181,0.069,0.512,0.252,0.132,0.025,0.197,0.755,0,0.008,0.100303951,0.265450861,0.341438703,0.292806484,12,8,0.325,0.202,0.123,0.095,0.13,0.268,12,3,18.14,1679,1539
266,0.506,0.053,0.187,0.068,0.518,0.222,0.147,0.027,0.091,0.851,0.013,0.016,0.093401015,0.34213198,0.32284264,0.241624365,12,11,0.323,0.252,0.105,0.087,0.146,0.288,14,4.27,8.9,1609,1039
216,0.439,0.049,0.167,0.051,0.482,0.214,0.146,0.062,0.027,0.784,0.021,0.059,0.059296482,0.229145729,0.408040201,0.303517588,12,9,0.309,0.172,0.079,0.058,0.162,0.18,11,1.7,8.02,1410,1480
317,0.441,0.067,0.211,0.061,0.517,0.222,0.187,0.026,0.031,0.903,0.002,0.006,0.17875383,0.425944842,0.249233912,0.146067416,11,12,0.339,0.22,0.129,0.076,0.057,0.355,14,4,21.9,2610,2090
259,0.528,0.037,0.103,0.045,0.506,0.211,0.166,0.015,0.004,0.956,0,0.011,0.068204614,0.358074223,0.260782347,0.312938816,9,10,0.309,0.183,0.097,0.074,0.141,0.231,14,0.6,12.1,1640,1840
382,0.448,0.083,0.222,0.046,0.534,0.23,0.182,0.015,0.437,0.531,0.007,0.007,0.226202661,0.380757421,0.261003071,0.132036847,12,13,0.381,0.307,0.148,0.109,0.11,0.371,13,8.2,21.32,4049,2899
352,0.321,0.08,0.223,0.063,0.512,0.218,0.159,0.013,0.004,0.981,0,0.001,0.226358149,0.369215292,0.292756539,0.11167002,13,13,0.395,0.267,0.155,0.116,0.045,0.356,13,6.4,17.37,3899,1369
